accession	filename
GCA_004799495.1	GCA_004799495.1_ASM479949v1_genomic.fna
GCA_014197265.1	GCA_014197265.1_ASM1419726v1_genomic.fna
GCA_014400405.1	GCA_014400405.1_ASM1440040v1_genomic.fna
GCA_017418975.1	GCA_017418975.1_ASM1741897v1_genomic.fna
GCF_000175935.2	GCF_000175935.2_ASM17593v2_genomic.fna
GCF_000295955.2	GCF_000295955.2_ASM29595v2_genomic.fna
GCF_000383475.1	GCF_000383475.1_ASM38347v1_genomic.fna
GCF_000576425.1	GCF_000576425.1_Braphev1_genomic.fna
GCF_001421355.1	GCF_001421355.1_Leaf9_genomic.fna
GCF_001598475.1	GCF_001598475.1_ASM159847v1_genomic.fna
GCF_001620065.1	GCF_001620065.1_ASM162006v1_genomic.fna
GCF_002095465.1	GCF_002095465.1_ASM209546v1_genomic.fna
GCF_002307475.1	GCF_002307475.1_ASM230747v1_genomic.fna
GCF_002362255.1	GCF_002362255.1_ASM236225v1_genomic.fna
GCF_002871795.1	GCF_002871795.1_ASM287179v1_genomic.fna
GCF_003236715.1	GCF_003236715.1_ASM323671v1_genomic.fna
GCF_003347015.1	GCF_003347015.1_ASM334701v1_genomic.fna
GCF_003711805.1	GCF_003711805.1_ASM371180v1_genomic.fna
GCF_004340945.1	GCF_004340945.1_ASM434094v1_genomic.fna
GCF_004745075.1	GCF_004745075.1_ASM474507v1_genomic.fna
GCF_004745485.1	GCF_004745485.1_ASM474548v1_genomic.fna
GCF_005490785.1	GCF_005490785.1_ASM549078v1_genomic.fna
GCF_006494415.1	GCF_006494415.1_ASM649441v1_genomic.fna
GCF_008271365.1	GCF_008271365.1_ASM827136v1_genomic.fna
GCF_009649635.1	GCF_009649635.1_ASM964963v1_genomic.fna
GCF_010634855.1	GCF_010634855.1_ASM1063485v1_genomic.fna
GCF_013374115.1	GCF_013374115.1_ASM1337411v1_genomic.fna
GCF_013415305.1	GCF_013415305.1_ASM1341530v1_genomic.fna
GCF_013623905.1	GCF_013623905.1_ASM1362390v1_genomic.fna
GCF_014155765.1	GCF_014155765.1_ASM1415576v1_genomic.fna
GCF_014196115.1	GCF_014196115.1_ASM1419611v1_genomic.fna
GCF_014897585.1	GCF_014897585.1_ASM1489758v1_genomic.fna
GCF_016623465.1	GCF_016623465.1_ASM1662346v1_genomic.fna
GCF_016892625.1	GCF_016892625.1_ASM1689262v1_genomic.fna
GCF_016907455.1	GCF_016907455.1_ASM1690745v1_genomic.fna
GCF_018137945.1	GCF_018137945.1_ASM1813794v1_genomic.fna
GCF_900169065.1	GCF_900169065.1_Assembly_BAUR9175_genomic.fna
GCF_900169165.1	GCF_900169165.1_Assembly_BLIN9172_genomic.fna
GCF_900169175.1	GCF_900169175.1_Assembly_BJEO58_genomic.fna
GCF_900169365.1	GCF_900169365.1_Assembly_BSP239C_genomic.fna
GCF_902706225.1	GCF_902706225.1_n18062v0.1_genomic.fna
