GCF_900169065.1	GCF_900169065.1_Assembly_BAUR9175_genomic.fna
GCF_018137945.1	GCF_018137945.1_ASM1813794v1_genomic.fna
GCF_016907455.1	GCF_016907455.1_ASM1690745v1_genomic.fna
GCF_016892625.1	GCF_016892625.1_ASM1689262v1_genomic.fna
GCF_016623465.1	GCF_016623465.1_ASM1662346v1_genomic.fna
GCF_014897585.1	GCF_014897585.1_ASM1489758v1_genomic.fna
GCF_014196115.1	GCF_014196115.1_ASM1419611v1_genomic.fna
GCF_014155765.1	GCF_014155765.1_ASM1415576v1_genomic.fna
GCF_013623905.1	GCF_013623905.1_ASM1362390v1_genomic.fna
GCF_013415305.1	GCF_013415305.1_ASM1341530v1_genomic.fna
GCF_013374115.1	GCF_013374115.1_ASM1337411v1_genomic.fna
GCF_010634855.1	GCF_010634855.1_ASM1063485v1_genomic.fna
GCF_009649635.1	GCF_009649635.1_ASM964963v1_genomic.fna
